Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,7.630000,8.008000,7.628000,7.898000,6.435010,2828442
2015-01-05,7.800000,7.975000,7.532000,7.544000,6.146584,2667589
2015-01-06,7.565000,7.638000,7.363000,7.501000,6.111550,3336535
2015-01-07,7.549000,7.670000,7.374000,7.416000,6.042294,2558982
2015-01-08,7.666000,7.970000,7.551000,7.895000,6.432567,3224971
2015-01-09,7.852000,8.063000,7.635000,7.741000,6.307093,3112196
2015-01-12,7.784000,7.859000,7.516000,7.643000,6.227246,2767249
2015-01-13,7.608000,7.700000,7.533000,7.639000,6.223987,2915824
2015-01-14,7.510000,7.608000,7.455000,7.485000,6.098514,3744579
2015-01-15,7.584000,7.641000,7.305000,7.426000,6.050442,4824902
2015-01-16,7.350000,7.790000,7.350000,7.771000,6.331536,4003207
2015-01-19,7.841000,7.906000,7.723000,7.893000,6.430937,1733382
2015-01-20,7.954000,8.175000,7.932000,8.133000,6.626481,3329470
2015-01-21,8.210000,8.270000,7.930000,8.137000,6.629740,3266522
2015-01-22,8.175000,8.480000,8.167000,8.320000,6.778841,4009444
2015-01-23,8.400000,8.554000,8.252000,8.304000,6.765806,4763881
2015-01-26,8.184000,8.710000,8.000000,8.679000,7.071341,4581514
2015-01-27,8.631000,8.795000,8.491000,8.559000,6.973570,3412395
2015-01-28,8.600000,8.738000,8.576000,8.658000,7.054232,3385255
2015-01-29,8.564000,8.723000,8.550000,8.663000,7.058306,3050462
2015-01-30,8.727000,8.900000,8.698000,8.818000,7.184595,4524259
2015-02-02,8.870000,8.893000,8.608000,8.711000,7.097414,3996439
2015-02-03,8.798000,9.230000,8.770000,9.164000,7.466502,4511506
2015-02-04,9.170000,9.299000,9.028000,9.063000,7.384212,3470757
2015-02-05,9.160000,9.591000,9.154000,9.590000,7.813593,7600591
2015-02-06,9.558000,9.677000,9.422000,9.542000,7.774484,3285930
2015-02-09,9.530000,9.675000,9.470000,9.552000,7.782632,3499262
2015-02-10,9.600000,9.720000,9.506000,9.660000,7.870626,3645998
2015-02-11,9.620000,9.700000,9.366000,9.469000,7.715005,3377295
2015-02-12,9.420000,9.950000,9.372000,9.779000,7.967583,5147005
2015-02-13,9.817000,9.887000,9.620000,9.706000,7.908106,3236361
2015-02-16,9.642000,9.867000,9.642000,9.765000,7.956176,1659152
2015-02-17,9.670000,9.890000,9.620000,9.750000,7.943955,1943835
2015-02-18,9.880000,10.280000,9.860000,10.250000,8.351337,5729824
2015-02-19,10.210000,10.270000,10.030000,10.120000,8.245419,3190542
2015-02-20,10.110000,10.250000,10.045000,10.170000,8.286156,2064222
2015-02-23,10.310000,10.425000,10.215000,10.345000,8.428741,1840067
2015-02-24,10.420000,10.420000,10.085000,10.265000,8.363559,2497951
2015-02-25,10.320000,10.490000,10.185000,10.365000,8.445035,2694575
2015-02-26,10.500000,10.850000,10.500000,10.670000,8.693539,4090454
2015-02-27,10.645000,10.700000,10.420000,10.595000,8.632431,3185950
2015-03-02,10.605000,10.690000,10.490000,10.580000,8.620210,2493883
2015-03-03,10.610000,10.760000,10.435000,10.455000,8.518365,2504762
2015-03-04,10.515000,10.645000,10.315000,10.535000,8.583545,4195037
2015-03-05,10.600000,11.030000,10.540000,10.990000,8.954263,4144284
2015-03-06,10.990000,10.990000,10.810000,10.900000,8.880934,3879597
2015-03-09,10.900000,10.980000,10.800000,10.960000,8.929820,4101736
2015-03-10,10.985000,11.120000,10.600000,10.880000,8.864638,2448968
2015-03-11,10.895000,11.295000,10.830000,11.245000,9.162028,2383009
2015-03-12,11.280000,11.360000,11.135000,11.150000,9.084625,1789695
2015-03-13,11.230000,11.465000,11.230000,11.380000,9.272020,2406761
2015-03-16,11.490000,11.685000,11.460000,11.575000,9.430901,2693981
2015-03-17,11.665000,11.810000,11.030000,11.180000,9.109069,4309833
2015-03-18,11.220000,11.330000,10.720000,11.110000,9.052034,4434651
2015-03-19,11.240000,11.340000,11.065000,11.110000,9.052034,4949066
2015-03-20,11.120000,11.525000,11.120000,11.465000,9.341276,5405754
2015-03-23,11.485000,11.555000,11.390000,11.520000,9.386088,2286396
2015-03-24,11.435000,11.560000,11.380000,11.490000,9.361645,2149658
2015-03-25,11.440000,11.900000,11.440000,11.530000,9.394235,4001419
2015-03-26,11.460000,11.495000,11.170000,11.475000,9.349424,2262969
2015-03-27,11.560000,11.680000,11.445000,11.475000,9.349424,2108784
2015-03-30,11.550000,11.825000,11.500000,11.730000,9.557188,2611629
2015-03-31,11.705000,11.915000,11.700000,11.765000,9.585707,1770478
2015-04-01,11.695000,11.935000,11.635000,11.890000,9.687551,4205600
2015-04-02,11.900000,11.940000,11.730000,11.915000,9.707920,1568718
2015-04-07,11.990000,12.250000,11.925000,12.220000,9.956424,2356068
2015-04-08,12.270000,12.360000,12.150000,12.285000,10.009384,3995542
2015-04-09,12.320000,12.435000,12.155000,12.435000,10.131598,5401978
2015-04-10,12.470000,12.640000,12.420000,12.540000,10.217147,1955246
2015-04-13,12.610000,12.715000,12.525000,12.620000,10.282329,2071894
2015-04-14,12.625000,12.700000,12.310000,12.445000,10.139745,2422805
2015-04-15,12.500000,12.625000,12.430000,12.500000,10.184557,1718298
2015-04-16,12.505000,12.505000,12.070000,12.095000,9.854577,2874475
2015-04-17,12.025000,12.215000,11.715000,11.805000,9.618296,4453096
2015-04-20,11.810000,11.965000,11.745000,11.905000,9.699773,1873782
2015-04-21,12.050000,12.290000,12.030000,12.215000,9.952350,2907053
2015-04-22,12.250000,12.300000,11.900000,12.165000,9.911611,2221162
2015-04-23,12.200000,12.280000,11.875000,12.175000,9.919760,1953951
2015-04-24,12.200000,12.380000,12.145000,12.265000,9.993089,1830008
2015-04-27,12.290000,12.400000,11.850000,12.380000,10.086786,1935351
2015-04-28,12.435000,12.630000,12.245000,12.350000,10.062343,2441344
2015-04-29,12.360000,12.425000,11.765000,11.895000,9.691626,2823953
2015-04-30,11.885000,12.050000,11.770000,12.020000,9.793471,2578571
2015-05-04,12.065000,12.230000,11.975000,12.130000,9.883096,1931797
2015-05-05,12.090000,12.300000,12.025000,12.130000,9.883096,3464668
2015-05-06,12.280000,12.525000,12.130000,12.185000,9.927907,4024253
2015-05-07,12.550000,13.395000,12.345000,13.340000,10.868959,8434283
2015-05-08,13.360000,13.855000,13.275000,13.425000,10.938214,4064335
2015-05-11,13.410000,13.660000,13.400000,13.525000,11.019691,2241629
2015-05-12,13.420000,13.435000,13.065000,13.380000,10.901551,3453454
2015-05-13,13.450000,13.570000,13.310000,13.385000,10.905625,3455696
2015-05-14,13.350000,13.590000,13.170000,13.505000,11.003396,1519320
2015-05-15,13.600000,13.645000,13.370000,13.490000,10.991175,1711903
2015-05-18,13.560000,13.610000,13.360000,13.610000,11.088946,1517553
2015-05-19,13.650000,13.900000,13.635000,13.860000,11.292637,1747974
2015-05-20,13.940000,14.180000,13.935000,14.140000,11.520772,2745254
2015-05-21,14.100000,14.130000,13.875000,14.050000,11.447442,1638633
2015-05-22,14.055000,14.150000,13.900000,13.990000,11.398556,1474603
2015-05-25,13.900000,13.900000,13.605000,13.700000,11.162275,729899
2015-05-26,13.790000,14.010000,13.550000,13.850000,11.284490,2625900
2015-05-27,13.910000,14.130000,13.890000,14.105000,11.492254,1493616
2015-05-28,14.100000,14.180000,13.900000,14.015000,11.418927,1392588
2015-05-29,14.150000,14.325000,13.930000,14.010000,11.414852,3139492
2015-06-01,14.130000,14.295000,13.740000,13.765000,11.215236,2501777
2015-06-02,13.850000,13.950000,13.670000,13.730000,11.186718,1809289
2015-06-03,13.765000,14.120000,13.740000,13.860000,11.292637,2006970
2015-06-04,13.800000,13.850000,13.490000,13.630000,11.105242,2184334
2015-06-05,13.470000,13.580000,12.800000,13.300000,10.836370,3719092
2015-06-08,13.265000,13.330000,13.015000,13.025000,10.612309,1650733
2015-06-09,12.955000,13.220000,12.720000,13.145000,10.710081,2409624
2015-06-10,13.090000,13.550000,12.980000,13.535000,11.027839,2358251
2015-06-11,13.520000,13.795000,13.500000,13.635000,11.109314,2023429
2015-06-12,13.620000,13.630000,13.300000,13.455000,10.962658,1712750
2015-06-15,13.255000,13.355000,13.030000,13.070000,10.648973,2646077
2015-06-16,12.890000,13.940000,12.810000,13.915000,11.337449,4266952
2015-06-17,13.920000,14.440000,13.865000,13.935000,11.353745,4249655
2015-06-18,13.835000,14.105000,13.630000,14.085000,11.475960,2529206
2015-06-19,14.095000,14.265000,13.905000,14.120000,11.504477,2898583
2015-06-22,14.410000,14.565000,14.300000,14.495000,11.810013,6544009
2015-06-23,14.700000,14.800000,14.600000,14.650000,11.936301,1889399
2015-06-24,14.735000,14.750000,14.210000,14.390000,11.724463,3374375
2015-06-25,14.380000,14.735000,14.215000,14.635000,11.924081,2525945
2015-06-26,14.490000,14.745000,14.415000,14.665000,11.948523,1457656
2015-06-29,13.800000,14.345000,13.800000,13.955000,11.370040,3264569
2015-06-30,13.900000,14.360000,13.870000,14.130000,11.512624,2594500
2015-07-01,14.290000,14.905000,14.200000,14.630000,11.920007,3413735
2015-07-02,14.885000,15.240000,14.810000,14.835000,12.087033,5763009
2015-07-03,14.820000,15.085000,14.740000,14.920000,12.224270,2597842
2015-07-06,14.550000,14.850000,14.440000,14.665000,12.015342,2313274
2015-07-07,14.720000,14.775000,14.230000,14.275000,11.695806,2962653
2015-07-08,14.420000,14.500000,14.150000,14.425000,11.818706,2022373
2015-07-09,14.520000,15.100000,14.445000,15.015000,12.302105,5465070
2015-07-10,15.330000,15.570000,15.285000,15.495000,12.695378,2772951
2015-07-13,15.680000,15.990000,15.680000,15.930000,13.051784,3176387
2015-07-14,15.840000,15.870000,15.650000,15.765000,12.916595,4011453
2015-07-15,15.750000,15.975000,15.745000,15.895000,13.023108,2498755
2015-07-16,16.000000,16.280001,15.930000,16.240000,13.305774,2461954
2015-07-17,16.299999,16.350000,15.950000,16.100000,13.191068,2086859
2015-07-20,16.280001,16.430000,16.200001,16.375000,13.416380,1871801
2015-07-21,16.450001,16.570000,16.309999,16.370001,13.412286,3616310
